index,lat,lng,City
 Broadway and Cabot,42.4021215,-71.0195408,Chelsea
101 Smith Place,42.392568,-71.14260613918304,Cambridge
1200 Beacon St,42.34414898749529,-71.11467361450195,Brookline
160 Arsenal,42.36466403441681,-71.17569386959076,Watertown
160 Arsenal St,42.36466403441681,-71.17569386959076,Watertown
175 N Harvard St,42.36449612709029,-71.12844562542605,Boston
18 Dorrance Warehouse,42.387151,-71.075978,Boston
191 Beacon St,42.38035961972708,-71.10879875327615,Somerville
2 Hummingbird Lane at Olmsted Green,42.288906705,-71.0950040775,Boston
30 Dane St,42.38100143038052,-71.10402522613185,Somerville
30 Dane St.,42.38100143038052,-71.10402522613185,Somerville
325 Binney St.,42.3671945115,-71.08913253349999,Cambridge
359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,Cambridge
515 Somerville Ave (Temp. Winter Location),42.38322726839113,-71.10606908798218,Somerville
55 Wheeler Street,42.390821,-71.143946,Cambridge
555 Metropolitan Ave,42.268036652,-71.119212664,Boston
606 American Legion Hwy at Canterbury St,42.28578,-71.109725,Boston
645 Summer St,42.341780891371904,-71.03987016504107,Boston
699 Mt Auburn St,42.37500235137831,-71.14871613699506,Cambridge
7 Acre Park,42.41143222973408,-71.06823265090497,Everett
700 Commonwealth Ave.,42.34960945333059,-71.10391523698127,Boston
700 Huron Ave,42.380788172914286,-71.15412890911102,Cambridge
75 Binney St,42.36550728505653,-71.0801375997653,Cambridge
84 Cambridgepark Dr,42.3936,-71.143941,Cambridge
855 Broadway,42.39840335405079,-71.02394844251353,Chelsea
87-101 Cambridgepark Drive,42.39532931715533,-71.1442133189899,Cambridge
955 Mass Ave,42.36895180540729,-71.10998779535294,Cambridge
Adams Branch Library,42.286011,-71.054689,Boston
Adams St at Lonsdale St,42.29168995537061,-71.05728010854969,Boston
Addison St at Saratoga St,42.38518146513944,-71.0151367,Boston
Airport T Stop - Bremen St at Brooks St,42.37530443828819,-71.0312630455337,Boston
Albany St at E. Brookline St,42.33666573313536,-71.06891692792254,Boston
Alewife MBTA at Steel Place,42.39568617908354,-71.14264750459152,Cambridge
Alewife Station at Russell Field,42.396105,-71.139459,Cambridge
Allston Green District - Griggs St at Commonwealth Ave,42.34922469338298,-71.13275302578586,Boston
American Legion Hwy at Canterbury St,42.278811581565975,-71.11687703062671,Boston
American Legion Hwy at Cummins Hwy,42.27877557678299,-71.11687163081336,Boston
American Legion Hwy at Hyde Park Ave,42.27265018400949,-71.1198658945405,Boston
Ames St at Broadway,42.3636929,-71.0875672,Cambridge
Ames St at Main St,42.3625,-71.08822,Cambridge
Andrew T Stop - Dorchester Ave at Dexter St,42.33073332585453,-71.05699850837482,Boston
Aquarium T Stop - 200 Atlantic Ave,42.36044135623124,-71.05043940246105,Boston
Arch St at Franklin St,42.35533501941256,-71.0582291708306,Boston
Archdale Rd at Washington St,42.29254905886363,-71.12098804657035,Boston
Arsenal Yards,42.36277388549605,-71.15764854490408,Watertown
Arsenal on the Charles,42.36349850640871,-71.18573324459247,Watertown
Ashmont T Stop,42.2856944,-71.0641389,Boston
Assembly Square T,42.39231011502314,-71.07743424152369,Somerville
Auburn St. at Mystic River,42.41759129386068,-71.12605836531748,Medford
Auburndale,42.34805541493346,-71.2477594614029,Newton
B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,Boston
BCBS Hingham,42.16722555541654,-70.90555783370291,Hingham
BCBS Quincy,42.27600498756665,-71.03924982267927,Quincy
Back Bay T Stop - Dartmouth St at Stuart St,42.34801324458719,-71.07656109311819,Boston
Bacon St at Washington St,42.35711920909866,-71.1860453666327,Newton
Ball Sq,42.39936816059618,-71.11111521723615,Somerville
Bartlett St at John Elliot Sq,42.3294633,-71.0901582,Boston
Beach St at Freeport St,42.303665154463545,-71.05428892382525,Boston
Beacon St at Arlington St,42.35553628489709,-71.07286870479584,Boston
Beacon St at Charles St,42.356052,-71.069849,Boston
Beacon St at Englewood Ave,42.33736915370925,-71.14485977232107,Brookline
Beacon St at Hawes St,42.34496783328529,-71.11040176903771,Brookline
Beacon St at Massachusetts Ave,42.35082680669095,-71.0898108780384,Boston
Beacon St at St. Paul St,42.34373094998716,-71.11614107161584,Brookline
Beacon St at Tappan St,42.338236843790185,-71.13900163214166,Brookline
Beacon St at Washington / Kirkland,42.37875351212593,-71.10707223415375,Somerville
Beacon at Walnut,42.330062324403,-71.20668411254883,Newton
Belgrade Ave at Walworth St,42.286333946431554,-71.13679649714024,Boston
Bellevue T Stop,42.28611420958351,-71.14636927843094,Boston
Bellingham Square,42.39329898564755,-71.03333491084747,Chelsea
Bennington St at Byron St,42.38350891855895,-71.01620188355108,Boston
Bennington St at Constitution Beach,42.385223935870535,-71.01063068965232,Boston
Berkshire Street at Cambridge Street,42.37207657915397,-71.08995433905875,Cambridge
Big Papi Station,42.34734473177431,-71.1001680795016,Boston
Binney St / Sixth St,42.36608797388682,-71.08633603909765,Cambridge
Blossom St at Charles St,42.36435589027983,-71.0695936904267,Boston
Blue Hill Ave at Almont St,42.27458007140612,-71.09370378796685,Boston
Blue Hill Ave at Havelock St,42.285973224,-71.0910579495,Boston
Blue Hill Ave at Southwood St,42.31788114694994,-71.07799013713617,Boston
Boston City Hall - 28 State St,42.35892,-71.057629,Boston
Boston College T,42.33987891612856,-71.16708934307098,Newton
Boston Convention and Exhibition Center - Summer St at West Side Dr,42.347763454147454,-71.0453599691391,Boston
Boston East - 126 Border St,42.373312125824704,-71.0410200806291,Boston
Boston Landing,42.35656092308941,-71.14167537549292,Boston
Boston Medical Center - E Concord St at Harrison Ave,42.33639915372498,-71.07306711393903,Boston
Boston Public Market,42.36254854409333,-71.0573735833168,Boston
Bowdoin St at Quincy St,42.30785224238503,-71.06512248516083,Boston
Boylston St at Arlington St,42.352067782,-71.0703672445,Boston
Boylston St at Berkeley St,42.3511419825475,-71.07329249382019,Boston
Boylston St at Charles St,42.3525760946701,-71.06764405041758,Boston
Boylston St at Charles St (Temp Winter Location),42.35258524849636,-71.06770277023315,Boston
Boylston St at Dartmouth St,42.35019319808638,-71.07744187116623,Boston
Boylston St at Dartmouth St FORMER,42.350413,-71.07655,Boston
Boylston St at Exeter St,42.349589423682445,-71.0794677917329,Boston
Boylston St at Fairfield St,42.348803822833936,-71.08236908912659,Boston
Boylston St at Jersey St,42.34470820543916,-71.09720470763486,Boston
Boylston St at Massachusetts Ave,42.34740620525209,-71.08678414955648,Boston
Boynton Yards at 101 South Street,42.37546,-71.091217,Somerville
Bremen St at Marion St,42.37410622047334,-71.03276252757496,Boston
Bridge Street Neck,42.52810051875824,-70.88971138000488,Salem
Brigham Circle - Francis St at Huntington Ave,42.33462893055976,-71.10407917767589,Boston
Brighton Ave at Linden St,42.3528376,-71.1296752,Boston
