index,lat,lng,Full Location,City,Zipcode
1200 Beacon St,42.34414898749529,-71.11467361450195,"{'tourism': 'Arcadian Hotel', 'house_number': '1200', 'road': 'Beacon Street', 'neighbourhood': 'Coolidge Corner', 'town': 'Brookline', 'county': 'Norfolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02446', 'country': 'United States', 'country_code': 'us'}",Brookline,02446
160 Arsenal St,42.36466403441681,-71.17569386959076,"{'road': 'Watertown Branch Rail Trail', 'suburb': 'East Watertown', 'town': 'Watertown', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02472', 'country': 'United States', 'country_code': 'us'}",Watertown,02472
175 N Harvard St,42.364474565180565,-71.12840831285212,"{'amenity': 'Harvard Athletic Complex', 'road': 'Academic Way', 'neighbourhood': ""Barry's Corner"", 'suburb': 'Allston', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02163', 'country': 'United States', 'country_code': 'us'}",Boston,02163
18 Dorrance Warehouse,42.387151,-71.075978,"{'house_number': '92', 'road': 'Arlington Avenue', 'suburb': 'Charlestown', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02129', 'country': 'United States', 'country_code': 'us'}",Boston,02129
191 Beacon St,42.38032335045416,-71.10878612855231,"{'house_number': '189,191,193', 'road': 'Beacon Street', 'city': 'Somerville', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02143', 'country': 'United States', 'country_code': 'us'}",Somerville,02143
2 Hummingbird Lane at Olmsted Green,42.2889393685,-71.09501093200001,"{'house_number': '211', 'road': 'Hummingbird Lane', 'residential': 'Olmsted Green', 'suburb': 'Mattapan', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02126', 'country': 'United States', 'country_code': 'us'}",Boston,02126
30 Dane St,42.380999603690256,-71.10401194356592,"{'amenity': '30 Dane St - Bluebikes', 'road': 'Dane Street', 'industrial': 'Ames Business Park', 'city': 'Somerville', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02143', 'country': 'United States', 'country_code': 'us'}",Somerville,02143
359 Broadway - Broadway at Fayette Street,42.3707616935,-71.1044287885,"{'amenity': 'High School Extension Progarm', 'road': 'Antrim Street', 'neighbourhood': 'Central Square', 'suburb': 'Cambridgeport', 'city': 'Cambridge', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02139', 'country': 'United States', 'country_code': 'us'}",Cambridge,02139
515 Somerville Ave (Temp. Winter Location),42.38322726839113,-71.10606908798218,"{'tourism': 'Cambria Boston Somerville', 'house_number': '515', 'road': 'Somerville Avenue', 'neighbourhood': 'Spring Hill', 'city': 'Somerville', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02143', 'country': 'United States', 'country_code': 'us'}",Somerville,02143
55 Wheeler Street,42.390821,-71.143946,"{'house_number': '50', 'road': 'Wheeler Street', 'city': 'Cambridge', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02140', 'country': 'United States', 'country_code': 'us'}",Cambridge,02140
555 Metropolitan Ave,42.268076289,-71.119195081,"{'house_number': '528', 'road': 'Metropolitan Avenue', 'suburb': 'Hyde Park', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02137', 'country': 'United States', 'country_code': 'us'}",Boston,02137
606 American Legion Hwy at Canterbury St,42.285832488,-71.1096102005,"{'shop': 'Brother’s Supermarket', 'house_number': '606', 'road': 'American Legion Highway', 'suburb': 'Roslindale', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02131', 'country': 'United States', 'country_code': 'us'}",Boston,02131
645 Summer St,42.34162431468595,-71.04004098102052,"{'road': 'Pappas Way', 'neighbourhood': 'Dorchester Heights', 'suburb': 'South Boston', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02127', 'country': 'United States', 'country_code': 'us'}",Boston,02127
699 Mt Auburn St,42.37500235137831,-71.14871613699506,"{'amenity': 'Bluebikes', 'road': 'Mount Auburn Street', 'neighbourhood': 'Strawberry Hill', 'city': 'Cambridge', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '20478', 'country': 'United States', 'country_code': 'us'}",Cambridge,20478
7 Acre Park,42.41143222973408,-71.06823265090497,"{'road': 'Northern Strand Community Trail', 'hamlet': 'West Everett', 'town': 'Everett', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02148', 'country': 'United States', 'country_code': 'us'}",Everett,02148
700 Commonwealth Ave.,42.34960945333059,-71.10391523698127,"{'amenity': 'Bluebikes', 'house_number': '700', 'road': 'Commonwealth Avenue', 'neighbourhood': 'Audubon Square', 'suburb': 'Fenway / Kenmore', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02215', 'country': 'United States', 'country_code': 'us'}",Boston,02215
700 Huron Ave,42.380788172914286,-71.15412890911102,"{'building': 'Parkside Place', 'house_number': '700', 'road': 'Huron Avenue', 'neighbourhood': 'Strawberry Hill', 'city': 'Cambridge', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '20478', 'country': 'United States', 'country_code': 'us'}",Cambridge,20478
75 Binney St,42.365278204528266,-71.08027082138264,"{'road': 'Binney Street', 'neighbourhood': 'Lechmere Square', 'suburb': 'East Cambridge', 'city': 'Cambridge', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02142', 'country': 'United States', 'country_code': 'us'}",Cambridge,02142
84 Cambridgepark Dr,42.3935843175,-71.14404550949999,"{'amenity': 'Bluebikes', 'road': 'Cambridgepark Drive', 'city': 'Cambridge', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02140', 'country': 'United States', 'country_code': 'us'}",Cambridge,02140
855 Broadway,42.398417726101584,-71.02390923402707,"{'building': 'Broadway Glen Apartments', 'house_number': '855', 'road': 'Broadway', 'neighbourhood': 'Mill Hill', 'town': 'Chelsea', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02150', 'country': 'United States', 'country_code': 'us'}",Chelsea,02150
87-101 Cambridgepark Drive,42.39522187031066,-71.14421904097979,"{'house_number': '35', 'road': 'Cambridgepark Drive', 'city': 'Cambridge', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02140', 'country': 'United States', 'country_code': 'us'}",Cambridge,02140
955 Mass Ave,42.36895180540729,-71.10998779535294,"{'house_number': '955', 'road': 'Massachusetts Avenue', 'neighbourhood': 'Riverside', 'suburb': 'Cambridgeport', 'city': 'Cambridge', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02139', 'country': 'United States', 'country_code': 'us'}",Cambridge,02139
Albany St at E. Brookline St,42.336667998135354,-71.06890447092255,"{'amenity': 'Boston University Medical Campus', 'house_number': '715', 'road': 'Albany Street', 'suburb': 'South End', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02118', 'country': 'United States', 'country_code': 'us'}",Boston,02118
Alewife MBTA at Steel Place,42.39558845716709,-71.14260613918304,"{'amenity': 'Alewife Station Parking Garage', 'house_number': '5;7', 'road': 'Cambridgepark Drive', 'city': 'Cambridge', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02140', 'country': 'United States', 'country_code': 'us'}",Cambridge,02140
Alewife Station at Russell Field,42.396105,-71.139459,"{'amenity': 'Blue Bikes - Alewife Station at Russell Field', 'road': 'Minuteman/Linear Park Connector', 'neighbourhood': 'North Cambridge', 'city': 'Cambridge', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02140', 'country': 'United States', 'country_code': 'us'}",Cambridge,02140
American Legion Hwy at Cummins Hwy,42.27876979478299,-71.11686239231335,"{'house_number': '921', 'road': 'American Legion Highway', 'neighbourhood': 'Clarendon Hills', 'suburb': 'Roslindale', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02131', 'country': 'United States', 'country_code': 'us'}",Boston,02131
Ames St at Broadway,42.363697658,-71.0876057095,"{'amenity': 'Blue Bottle', 'house_number': '88', 'road': 'Ames Street', 'neighbourhood': 'The Port', 'suburb': 'East Cambridge', 'city': 'Cambridge', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02142', 'country': 'United States', 'country_code': 'us'}",Cambridge,02142
Ames St at Main St,42.3625,-71.08822,"{'road': 'Ames Street', 'neighbourhood': 'The Port', 'suburb': 'East Cambridge', 'city': 'Cambridge', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02142', 'country': 'United States', 'country_code': 'us'}",Cambridge,02142
Aquarium T Stop - 200 Atlantic Ave,42.36044135623124,-71.05043940246105,"{'tourism': 'Boston Marriott Long Wharf', 'house_number': '296', 'road': 'State Street', 'neighbourhood': 'Waterfront', 'suburb': 'North End', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02109', 'country': 'United States', 'country_code': 'us'}",Boston,02109
Archdale Rd at Washington St,42.292568489863626,-71.12096408557034,"{'house_number': '39', 'road': 'Archdale Road', 'neighbourhood': 'Forest Hills', 'suburb': 'Roslindale', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02131', 'country': 'United States', 'country_code': 'us'}",Boston,02131
Arsenal Yards,42.36276918174802,-71.15771608645204,"{'road': 'Arsenal Street', 'suburb': 'East Watertown', 'town': 'Watertown', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02135', 'country': 'United States', 'country_code': 'us'}",Watertown,02135
Ashmont T Stop,42.2856944,-71.0641389,"{'neighbourhood': 'Ashmont', 'suburb': 'Dorchester', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'country': 'United States', 'country_code': 'us'}",Boston,02124
Assembly Square T,42.39229920752314,-71.07742393002368,"{'road': 'Great River Road', 'city': 'Somerville', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02145', 'country': 'United States', 'country_code': 'us'}",Somerville,02145
Auburn St. at Mystic River,42.41759089672136,-71.12608127863496,"{'road': 'Auburn Street', 'hamlet': 'Medford Hillside', 'city': 'Medford', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02155', 'country': 'United States', 'country_code': 'us'}",Medford,02155
B.U. Central - 725 Comm. Ave.,42.350406323499996,-71.10826284199999,"{'amenity': 'Bluebikes', 'house_number': '771', 'road': 'Commonwealth Avenue', 'neighbourhood': 'Audubon Square', 'suburb': 'Fenway / Kenmore', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02215', 'country': 'United States', 'country_code': 'us'}",Boston,02215
Back Bay T Stop - Dartmouth St at Stuart St,42.3480740615872,-71.0765700766182,"{'man_made': 'Prudential Tunnel', 'road': 'Dartmouth Street', 'suburb': 'Back Bay', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02117', 'country': 'United States', 'country_code': 'us'}",Boston,02117
Ball Sq,42.39936816059618,-71.11111521723615,"{'amenity': 'Bluebikes - Ball Square', 'road': 'Boston Avenue', 'neighbourhood': 'Ball Square', 'city': 'Somerville', 'county': 'Middlesex County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02144', 'country': 'United States', 'country_code': 'us'}",Somerville,02144
Bartlett St at John Elliot Sq,42.329446701500004,-71.0901525495,"{'house_number': '64', 'road': 'Bartlett Street', 'neighbourhood': 'Roxbury Crossing', 'suburb': 'Roxbury', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02119', 'country': 'United States', 'country_code': 'us'}",Boston,02119
Beach St at Freeport St,42.30365293596354,-71.05425643932526,"{'road': 'Beach Street', 'neighbourhood': 'Fields Corner', 'suburb': 'Dorchester', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02122', 'country': 'United States', 'country_code': 'us'}",Boston,02122
Beacon St at Charles St,42.356052,-71.069849,"{'road': 'Charles Street', 'suburb': 'Beacon Hill', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02108', 'country': 'United States', 'country_code': 'us'}",Boston,02108
Beacon St at Tappan St,42.33822265779018,-71.13904043464166,"{'shop': 'Star Market', 'house_number': '1717', 'road': 'Beacon Street', 'neighbourhood': 'Beaconsfield', 'town': 'Brookline', 'county': 'Norfolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02447', 'country': 'United States', 'country_code': 'us'}",Brookline,02447
Belgrade Ave at Walworth St,42.286359933931564,-71.13679381464023,"{'house_number': '147', 'road': 'Belgrade Avenue', 'neighbourhood': 'Bellevue', 'suburb': 'Roslindale', 'city': 'Boston', 'county': 'Suffolk County', 'state': 'Massachusetts', 'ISO3166-2-lvl4': 'US-MA', 'postcode': '02131', 'country': 'United States', 'country_code': 'us'}",Boston,02131
